Step,GR,Complexity,Goal_Progress,Entropy,Acceleration,Jerk
1,-,-,-,-,-,-
2,-,-,-,-,-,-
3,-,-,-,-,-,-
4,-,-,-,-,-,-
5,-,-,-,-,-,-
